Kraken Experian Tier,Kraken Experian Tier Class,Kraken Experian Mosaic Household,Kraken Experian First Lead Sub Group,Kraken Experian First Lead Group,Kraken Experian Number of Children,Kraken Experian Consumer View Profitability Score,Kraken Experian Direct Mail Responder,Kraken Experian Dwelling Type,Kraken Experian Estimated Household Income,Kraken Experian Estimated Current Home Value,Kraken Experian Gender Code,Kraken Experian Individual Education,Kraken Experian Length of Residence,Kraken Experian Marital Status,Kraken Experian Occupation Group,Kraken Experian State Region,Kraken Experian Membership Tcv,Kraken Experian Membership Level,Kraken Experian Membership Length Days,Kraken Experian Product Tcv,Kraken Experian Count
1,B,Reaping Rewards,,Unknown,No Children,2,Y - SINGLE BUYER,S - Single Family,$15000-$24999,"$276,240 ",Male,Less than HS Diploma - Likely,13 Years,Married - Extremely Likely,Retired-I,AZ,"1,068.12",Elite,"1,855",0,1
1,B,No place like Home,,Unknown,1 = 1 Child,4,M - MULTI BUYER,S - Single Family,$50000-$74999,"$188,820 ",Male,Some College -Extremely Likely,20 Years,Married - Extremely Likely,Other-I,AZ,"1,996.66",Elite,"2,487",0,1
1,B,Platinum Prosperity,,Unknown,No Children,1,U - UNKNOWN,S - Single Family,$250000+,"$1,239,145 ",Male,Bach Degree - Extremely Likely,16 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,TX,"1,049.44",Elite,"2,093",0,1
1,B,Silver Sophisticates,,Unknown,1 = 1 Child,1,U - UNKNOWN,S - Single Family,$175000-$199999,"$452,410 ",Male,Bach Degree - Extremely Likely,14 Years,Married - Likely,Profess:Legal/Educ/Health-K,VA,"1,573.45",Elite,"1,980",0,1
1,B,No place like Home,,Unknown,No Children,3,M - MULTI BUYER,S - Single Family,$75000-$99999,"$849,497 ",Male,Some College -Extremely Likely,26 Years,Unknown Status - Indiv not PDM,Other-I,FL,"1,553.84",Elite,"1,949",0,1
1,B,Platinum Prosperity,,Unknown,No Children,5,Y - SINGLE BUYER,S - Single Family,$200000-$249999,"$147,144 ",Male,Some College - Likely,14 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,PA,"1,520.67",Elite,"1,925",0,1
1,B,Aging of Aquarius,,Unknown,No Children,3,,,$75000-$99999,"$210,000 ",Male,Some College - Likely,10 Years,Married - Likely,Retired-I,TX,"2,663",Elite,"1,951",0,1
1,B,American Royalty,,Unknown,1 = 1 Child,1,M - MULTI BUYER,S - Single Family,$100000-$124999,"$679,640 ",Male,Less than HS Diploma - Likely,21 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-I,TX,"1,982.92",Elite,"2,535",0,1
1,B,Rooted Flower Power,,Unknown,No Children,4,M - MULTI BUYER,S - Single Family,$50000-$74999,"$179,862 ",Female,HS Diploma - Extremely Likely,19 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,NC,403.1,Elite,"1,849",0,1
1,B,No place like Home,,Unknown,1 = 1 Child,4,M - MULTI BUYER,S - Single Family,$50000-$74999,,Male,Some College - Likely,26 Years,Unknown Status - Indiv not PDM,Mgmt/Business/Financial Oper-I,KS,"1,983.20",Elite,"1,874",0,1
1,B,Aging in Place,,Unknown,No Children,3,M - MULTI BUYER,P - Post Office Box,$25000-$34999,"$361,388 ",Male,Less than HS Diploma - Likely,19 Years,Married - Likely,Retired-I,MD,"1,722.17",Elite,"1,951",0,1
1,B,Town Elders, -,Media Buy,No Children,6,U - UNKNOWN,S - Single Family,$50000-$74999,,Male,Less than HS Diploma - Likely,17 Years,Married - Likely,Retired-I,KS,"2,520",Elite,"2,605",0,1
9,H,Reaping Rewards, -,Media Buy,No Children,6,U - UNKNOWN,S - Single Family,$1000-$14999,"$247,237 ",Male,Some College -Extremely Likely,5 Years,Unknown Status - Indiv not PDM,Retired-I,ME,13,Silver,28,0,1
1,F,Bohemian Groove, -,Media Buy,No Children,7,M - MULTI BUYER,S - Single Family,$25000-$34999,,Male,HS Diploma - Likely,19 Years,Single - Likely,Other-I,IN,870,Elite,"1,326",0,1
1,E,Blue Collar Comfort, -,Media Buy,1 = 1 Child,2,M - MULTI BUYER,A - Multi-Family & Condominium,$50000-$74999,"$173,623 ",Male,Bach Degree - Extremely Likely,15 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,FL,935.81,Elite,"1,120",27,1
1,G,Rural Escape, -,Media Buy,No Children,5,M - MULTI BUYER,S - Single Family,$1000-$14999,"$324,259 ",Male,Less than HS Diploma - Likely,9 Years,Married - Extremely Likely,Retired-I,PA,950,Elite,770,202,1
1,B,Family Fun-tastic, -,Media Buy,No Children,5,M - MULTI BUYER,S - Single Family,$150000-$174999,"$510,440 ",Male,HS Diploma - Likely,26 Years,Unknown Status - Indiv not PDM,Other-K,CA,"2,198.93",Elite,"2,350",0,1
1,E,Homemade Happiness, -,Media Buy,No Children,5,U - UNKNOWN,S - Single Family,$35000-$49999,"$102,511 ",Male,Grad Degree - Extremely Likely,3 Years,Married - Extremely Likely,Blue Collar-I,OR,"1,280",Elite,"1,104",7.95,1
9,H,Rooted Flower Power, -,Media Buy,No Children,5,U - UNKNOWN,S - Single Family,$50000-$74999,"$204,678 ",Male,HS Diploma - Likely,10 Years,Unknown Status - PDM,Blue Collar-I,FL,117,Silver,256,0,1
1,B,Fast Track Couples, -,Media Buy,No Children,3,U - UNKNOWN,S - Single Family,$35000-$49999,"$232,378 ",Male,Bach Degree - Likely,New,Married - Extremely Likely,Blue Collar-I,ND,"1,915",Elite,"1,839",0,1
1,A,Unspoiled Splendor, -,Media Buy,No Children,3,Y - SINGLE BUYER,S - Single Family,$75000-$99999,"$213,661 ",Male,Less than HS Diploma - Likely,19 Years,Married - Extremely Likely,Blue Collar-I,OK,"1,857.88",Elite,"2,290",97,1
1,D,Families Matter Most, -,Media Buy,No Children,6,Y - SINGLE BUYER,S - Single Family,$50000-$74999,"$133,634 ",Male,Some College -Extremely Likely,12 Years,Married - Extremely Likely,Other-I,TN,"1,623.20",Elite,"1,499",0,1
9,H,Family Fun-tastic, -,Media Buy,1 = 1 Child,2,M - MULTI BUYER,S - Single Family,$75000-$99999,"$133,107 ",Male,Bach Degree - Extremely Likely,17 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,MI,117,Silver,273,0,1
9,H,Wired for Success, -,Media Buy,No Children,6,M - MULTI BUYER,A - Multi-Family & Condominium,$250000+,"$56,092 ",Male,HS Diploma - Likely,8 Years,Married - Likely,Blue Collar-I,PA,78,Silver,182,0,1
9,H,Striving Single Scene, -,Media Buy,No Children,9,U - UNKNOWN,A - Multi-Family & Condominium,$25000-$34999,,Male,Less than HS Diploma - Likely,New,Single - Likely,Sales-I,TX,26,Silver,71,0,1
1,G,Homemade Happiness, -,Media Buy,No Children,4,U - UNKNOWN,S - Single Family,$75000-$99999,"$96,199 ",Male,HS Diploma - Extremely Likely,16 Years,Married - Likely,Blue Collar-K,IL,"1,070",Elite,891,189,1
9,H,Tight Money, -,Media Buy,No Children,8,U - UNKNOWN,M - Marginal Multi-Family,$25000-$34999,,Female,HS Diploma - Likely,2 Years,Unknown Status - PDM,Retired-K,WA,52,Silver,123,0,1
1,G,Silver Sophisticates, -,Media Buy,No Children,2,U - UNKNOWN,S - Single Family,$1000-$14999,"$353,613 ",Male,Grad Degree - Likely,6 Years,Married - Likely,Retired-I,CA,897.5,Elite,832,240,1
1,G,Unspoiled Splendor, -,Media Buy,No Children,6,M - MULTI BUYER,S - Single Family,$100000-$124999,,Male,Some College - Likely,7 Years,Unknown Status - PDM,Farming/Fish/Forestry-I,KS,950,Elite,770,104.95,1
1,E,Unspoiled Splendor, -,Media Buy,No Children,2,M - MULTI BUYER,S - Single Family,$15000-$24999,"$387,500 ",Male,Some College -Extremely Likely,26 Years,Married - Likely,Blue Collar-K,WA,708,Elite,"1,318",97,1
1,D,Aging of Aquarius, -,Media Buy,No Children,2,M - MULTI BUYER,S - Single Family,$100000-$124999,"$324,454 ",Male,HS Diploma - Extremely Likely,24 Years,Married - Likely,Mgmt/Business/Financial Oper-K,CO,"1,910.88",Elite,"1,814",0,1
1,A,Town Elders, -,Media Buy,No Children,6,M - MULTI BUYER,S - Single Family,$15000-$24999,"$89,839 ",Male,HS Diploma - Likely,36 Years,Unknown Status - PDM,Retired-I,FL,"2,270",Elite,"2,119",76,1
1,B,Aging in Place, -,Media Buy,No Children,1,M - MULTI BUYER,S - Single Family,$15000-$24999,"$326,274 ",Male,Some College -Extremely Likely,27 Years,Married - Likely,Profess:Legal/Educ/Health-K,IL,192.5,Elite,"1,877",0,1
1,D,Fast Track Couples, -,Media Buy,No Children,5,,,$50000-$74999,"$269,000 ",Male,Some College - Likely,7 Years,Married - Likely,Blue Collar-I,UT,"1,910",Elite,"1,761",0,1
1,D,Aging of Aquarius, -,Media Buy,No Children,3,Y - SINGLE BUYER,S - Single Family,$75000-$99999,"$258,989 ",Male,Less than HS Diploma - Likely,11 Years,Married - Extremely Likely,Tech: Comp/Math/Arch/Eng-I,MS,"1,431.54",Elite,"1,751",0,1
1,B,Rural Escape, -,Media Buy,No Children,6,M - MULTI BUYER,P - Post Office Box,$25000-$34999,,Male,Some College -Extremely Likely,24 Years,Unknown Status - PDM,Retired-I,CA,"1,942.92",Elite,"2,611",0,1
9,H,Reaping Rewards, -,Media Buy,No Children,1,U - UNKNOWN,A - Multi-Family & Condominium,$35000-$49999,"$555,489 ",Male,Bach Degree - Extremely Likely,18 Years,Married - Extremely Likely,Office and Admin Support-K,NH,26,Silver,81,0,1
1,B,Unspoiled Splendor, -,Media Buy,No Children,1,M - MULTI BUYER,S - Single Family,$50000-$74999,"$215,147 ",Male,Bach Degree - Extremely Likely,27 Years,Married - Extremely Likely,Retired-K,MD,"2,227.88",Elite,"2,617",0,1
1,C,Full Pockets  Empty Nests, -,Media Buy,No Children,3,Y - SINGLE BUYER,S - Single Family,$100000-$124999,"$224,436 ",Male,Grad Degree - Extremely Likely,17 Years,Single - Likely,Profess:Legal/Educ/Health-K,KY,"1,645",Elite,"1,568",453,1
1,B,Unspoiled Splendor, -,Media Buy,No Children,2,Y - SINGLE BUYER,S - Single Family,$75000-$99999,"$250,127 ",Male,Grad Degree - Extremely Likely,3 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,OH,"1,719.10",Elite,"2,127",0,1
1,H,Rural Escape, -,Media Buy,1 = 1 Child,2,M - MULTI BUYER,S - Single Family,$75000-$99999,"$146,757 ",Male,HS Diploma - Likely,9 Years,Married - Likely,Retired-I,MN,"1,040",Elite,862,0,1
1,D,Reaping Rewards, -,Media Buy,No Children,3,U - UNKNOWN,S - Single Family,$1000-$14999,"$354,860 ",Male,Some College - Likely,6 Years,Married - Likely,Blue Collar-K,ME,733.1,Elite,"1,530",0,1
1,B,American Royalty, -,Media Buy,No Children,1,U - UNKNOWN,S - Single Family,$250000+,,Male,Grad Degree - Extremely Likely,29 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,TX,"2,602.80",Elite,"2,833",0,1
1,H,Aging of Aquarius, -,Media Buy,No Children,4,Y - SINGLE BUYER,S - Single Family,$125000-$149999,"$239,496 ",Male,Bach Degree - Likely,14 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-I,WV,839,Elite,822,0,1
1,E,Settled in Suburbia, -,Media Buy,No Children,2,M - MULTI BUYER,S - Single Family,$50000-$74999,"$312,990 ",Male,Less than HS Diploma - Likely,26 Years,Married - Extremely Likely,Retired-I,CA,"1,163.98",Elite,"1,376",304.95,1
1,F,Red  White and Bluegrass, -,Media Buy,4 = 4 Children,4,M - MULTI BUYER,S - Single Family,$35000-$49999,"$96,278 ",Male,Bach Degree - Extremely Likely,12 Years,Married - Extremely Likely,Blue Collar-K,IN,"1,113.98",Elite,"1,376",0,1
